id	iast	burmese	es	en	flag
74015	ta	(၁) ခိုးသူ၊ သူခိုး၊ သူဝှက်၊ ဒမြ။ (၂) ခိုးဝှက်မှု၊ တိုက်ခိုက်မှု၊ လုယက်မှု။ «S1» (၃) မြေခွေး၊ တောခွေး၊ ခွေးအ။ (၄) (ဆင်,မြင်း-စသော သတ္တဝါတို့၏) အမြီး၊ သားမြီး။ «S2» (၅) ကုသိုလ်၊ ကောင်းမှု။ «S3» (၆) ဝမ်း၊ ဗိုက်။ «S4» (၇) ရေ။ (၈) ရတနာ။ (က) ပုလဲ-စသော ရတနာ။ (ခ) ဘုရား-တရား-သံဃာ-ရတနာ။ (၉) တဏှာ။ «S5»	(1) ladrón; ladrón; ladrón furtivo; salteador. (2) robo; asalto; saqueo. Véase también [[takkara]] (1). (3) zorro; chacal; ‹ခွေးအ›. (4) (de seres como el elefante, el caballo y demás) cola; cola de animal. Véase también [[sūci]]. (5) lo sano; buena acción. Véase [[takkara]] (2). (6) vientre; barriga. Véase [[takkoṭaka]]. (7) agua. (8) joya. (a) joya como la perla y demás. (b) la joya del Buddha / de la Enseñanza / del *saṅgha*. (9) *taṇhā*. Véase [[tammaya]] (1).	(1) thief; thief; burglar; robber. (2) theft; assault; plunder. See also [[takkara]] (1). (3) fox; jackal; ‹ခွေးအ›. (4) (of beings such as the elephant, the horse and so on) tail; animal's tail. See also [[sūci]]. (5) the wholesome; good deed. See [[takkara]] (2). (6) belly; stomach. See [[takkoṭaka]]. (7) water. (8) jewel. (a) jewel such as the pearl and so on. (b) the jewel of the Buddha / of the Teaching / of the *saṅgha*. (9) *taṇhā*. See [[tammaya]] (1).	(3) ခွေးအ not identified (a kind of wild dog?), left in Burmese. (5) ကုသိုလ် as a noun beside ကောင်းမှု: rendered 'lo sano'; could be 'mérito' (puñña).
74016	ta	လာသော (အာဂုံ) 'တ'။	‘*ta*’ que se añade (*āgama*).	‘*ta*’ that is added (*āgama*).	လာသော 'that comes' rendered as the grammatical augment (āgama).
74017	ta	အခြားအက္ခရာမှ-ပြောင်းလဲ-ပြုပြင်-စီရင်-ရွတ်ဆို-အပ်သော (အာဒေသ=ကာရိယ) 'တ'။ မူရင်းကြည့်ပါ။	‘*ta*’ cambiada / modificada / dispuesta / pronunciada a partir de otra letra (*ādesa*=*kāriya*). Véase el original.	‘*ta*’ changed / modified / arranged / pronounced from another letter (*ādesa*=*kāriya*). See the original.	Source note 'မူရင်းကြည့်ပါ' (see the original).
74019	ta	ဓာတ်,လိင်-တို့ နောက်- စီရင်-သက်ရောက်စေ-အပ်သော ပစ္စည်းဖြစ်သော 'တ'။ မူရင်းကြည့်ပါ။	‘*ta*’ que es un sufijo dispuesto / aplicado después de raíces, temas nominales. Véase el original.	‘*ta*’ that is a suffix arranged / applied after roots, nominal stems. See the original.	Source note 'မူရင်းကြည့်ပါ' (see the original). ဓာတ်, လိင် read as grammatical root (dhātu) and stem (liṅga).
74021	ta	သင်္ချာ-တ။ (ဤတ-သည် ပိဋကသင်္ချာနည်းအားဖြင့် ၆-ခု သင်္ချာကို ဟောသည်)။ ဆပ္ပစ္စယဒီပက ၈၈-လည်းကြည့်ပါ။	*ta* numeral. (Esta *ta*, según el método *piṭakasaṅkhyā*, indica el número 6). Véase también [[chappaccayadīpaka]] 88.	the numeral *ta*. (This *ta*, by the *piṭakasaṅkhyā* method, denotes the number 6). See also [[chappaccayadīpaka]] 88.	A 'see also' to a text (ဆပ္ပစ္စယဒီပက 88) was not placeholdered; rendered in place.
74024	taṁ	အာချာတ်ဝိဘတ် 'တံ'။ (က) တောင့်တ-ဆုတောင်း-ခြင်း (အာသိဋ္ဌ),(ခ) တိုက်တွန်းခြင်း (အဇ္ဈိဋ္ဌ),(၈) တောင်းပန်ခြင်း (ယာစန),(ဃ) ကျိန်ဆို-ကျိန်ဆဲ-ခြင်း (သပထ) အနက်ရှိသော 'တံ'စသည်။	desinencia verbal ‘*taṁ*’. ‘*taṁ*’ y demás, que tienen el significado de (a) el anhelar / el hacer votos (*āsiṭṭha*), (b) el instar (*ajjhiṭṭha*), (c) el suplicar (*yācana*), (d) el jurar / el maldecir (*sapatha*).	the verbal ending ‘*taṁ*’. ‘*taṁ*’ and so on, having the meaning of (a) longing / praying (*āsiṭṭha*), (b) urging (*ajjhiṭṭha*), (c) begging (*yācana*), (d) swearing / cursing (*sapatha*).	The source numbers the third sense (၈) — read as (ဂ) (c).
74033	taṁkāraṇa	(က) ထိုးအကြောင်း။ (ခ) ထိုး---၏ အကြောင်း။	(a) esa causa. (b) la causa de eso ---.	(a) that cause. (b) the cause of that ---.	ထိုး (twice) read as ထို 'that'; (b) has a blank '---' in the source.
74036	taṁkoṭṭhāsika	ထို...အဖို့၌ဖြစ်သော	que se da en esa ... parte.	occurring in that ... portion.	Definition ends without ။; may be truncated.
74038	taṁkhantika	ထို (သူ၏) လက်ခံ (ယုံကြည်) ခြင်းနှင့်တူသော လက်ခံ (ယံကြည်)ခြင်းရှိသော၊ ထို ခံယူချက်တူသော၊ သူ။	que tiene una aceptación (creencia) semejante a la aceptación (creencia) de aquel (hombre); que tiene esa misma convicción (dicho de una persona).	having an acceptance (belief) like the acceptance (belief) of that (man); having that same conviction (said of a person).	ယံကြည် read as ယုံကြည် 'belief'.
74041	taṁcittatā	(၁) ထို (အာရုံဖြစ်၍ဖြစ်သော) စိတ်ရှိသူ၏အဖြစ်၊ ထို စိတ်ရှိသူဟု သိခြင်း၏ အကြောင်း (စိတ်)။ (၂) ထို (အာရုံ ပြု-တတ်-အပ်-သော) စိတ်၏အဖြစ်။ «S1»	(1) el hecho de ser uno que tiene esa mente (surgida teniéndolo como objeto); la causa (la mente) de saber: 'es uno que tiene esa mente'. (2) el hecho de ser la mente que (toma / suele tomar / es tomada como) objeto eso. Véase también [[taṁñāṇatā]].	(1) the state of one who has that mind (arisen with it as object); the cause (the mind) of knowing: 'he is one who has that mind'. (2) the state of the mind that (takes / tends to take / is taken as) that as object. See also [[taṁñāṇatā]].	(2) the hyphenated ပြု-တတ်-အပ်-သော is ambiguous (active / habitual / passive).
